MachineType,PartNumber,QtyPerMachine
A520,EPT011443,1.0
A520,EAS000789SP,1.0
A520,QUBE01N,1.0
A520-2,EAS000789SP,1.0
A520-2,EPT011443,1.0
A520-2,WL-211,1.0
A520-2,QUBE01N,1.0
A520-4,EAS000789SP,1.0
A520-4,EPT011443,1.0
A520-4,WL-400,1.0
A520-4,QUBE01N,1.0
Ax150i-2,WL-211,1.0
Ax150i-2,EPT015415SP,1.0
Ax150i-2,EAS000789SP,1.0
Ax150i-2,ITM02,1.0
Ax150i-4,WL-400,1.0
Ax150i-4,EPT015415SP,1.0
Ax150i-4,EAS000789SP,1.0
Ax150i-4,ITM02,1.0
Ax350i-2,WL-211,1.0
Ax350i-2,EPT015415SP,1.0
Ax350i-2,EAS000789SP,1.0
Ax350i-2,ITM02,1.0
Ax350i-4,WL-400,1.0
Ax350i-4,EPT015415SP,1.0
Ax350i-4,EAS000789SP,1.0
Ax350i-4,ITM02,1.0
CL4NX,SAT-R37901501,1.0
CL4NX,SAT-R37901800,1.0
CL4NX,EPT039697,1.0
CL6NX,SAT-R38353500,1.0
CL6NX,SAT-R38747500,1.0
CL6NX,EPT039697,1.0
DPX-1000,L011362,1.0
Gen2,MT14254SP,1.0
Gen2,MT13247,1.0
Gen2,EPT039697,1.0
M230i-T4,EPT073826SP,1.0
M230i-T4,MT38000SP,1.0
M230i-T4,MT13247,1.0
M230i-T4,EPT039697,1.0
M230i-T6,EPT073827SP,1.0
M230i-T6,MT13612SP,1.0
M230i-T6,MT38001SP,1.0
M230i-T6,MT13247,1.0
M230i-T6,EPT039697,1.0
Mx-T4,EPT073826SP,1.0
Mx-T4,MT38000SP,1.0
Mx-T4,MT13247,1.0
Mx-T4,EPT039697,1.0
Mx-T6,EPT073827SP,1.0
Mx-T6,MT13612SP,1.0
Mx-T6,MT13247,1.0
Mx-T6,EPT039697,1.0
Mx-T6,MT38001SP,1.0
V230,EAS001358SP,
V230,EPT010205,0.5
V230,EPT039697,1.0
V320,,0.5
V320,,0.5
V320,EPT039697,1.0
S84NX,SAT-R39783600,1.0
S84NX,SAT-R29175000,1.0
S84NX,SAT-R29176000,1.0
S84NX,SAT-R29219000,0.5
S84NX,EPT039697,1.0
S86NX,SAT-R20619000,1.0
S86NX,SAT-R20628000,1.0
S86NX,SAT-R29219000,0.5
S86NX,EPT039697,1.0
S86NX,SAT-R42073100,1.0
S84NX,SAT-Y58S84NXKIT001,1.0
